Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.206311,1.44557,-0.0268295,-0.101809,0.0935153,0.0808987,-0.304031,0.977844,0.150245,-0.415709,1.11136,0.262009,-0.643907,0.87472,0.212863,-0.0310218,0.0643285,0.0313629,-0.224401,0.464958,0.118156,-0.160311,0.993933,0.0244073,-0.291247,1.43732,0.144464,-0.271621,0.0638221,0.0265497,-0.574615,0.940318,0.169442,-0.552267,0.906981,0.231118,-0.433128,0.122057,-0.155024,-0.214971,1.09402,-0.313002,-0.225961,0.750118,-0.379119,-0.373997,0.0828416,-0.08103,-0.489499,0.535241,-0.176822,-0.156068,0.987306,-0.0387546,-0.271705,1.42242,-0.202995,-0.601791,0.0919135,-0.131957,-0.252005,0.841062,-0.313117,-0.193044,0.841242,-0.357091,-0.411421,1.21421,-0.0179577
2,0.00999087,-0.206179,1.44317,-0.0269269,-0.0896688,0.0937953,0.0807946,-0.303488,0.97564,0.149943,-0.421346,1.11061,0.261635,-0.655683,0.881386,0.209316,-0.0181111,0.064783,0.0313022,-0.217867,0.4639,0.117999,-0.159422,0.99128,0.0240145,-0.292533,1.4348,0.143828,-0.258954,0.0635928,0.0265209,-0.583689,0.944483,0.166898,-0.563131,0.910319,0.228278,-0.459657,0.117374,-0.158858,-0.210801,1.09226,-0.314316,-0.215812,0.74938,-0.385068,-0.402275,0.0734525,-0.0858214,-0.487814,0.532325,-0.174766,-0.155226,0.984789,-0.0390158,-0.270167,1.41957,-0.203728,-0.629917,0.0978033,-0.134665,-0.244061,0.838685,-0.317413,-0.184385,0.840348,-0.360531,-0.410289,1.21081,-0.0190467
3,0.0199817,-0.206095,1.44067,-0.0271073,-0.0775721,0.0941667,0.0808118,-0.303241,0.973414,0.149594,-0.42669,1.10989,0.261124,-0.666605,0.887753,0.205926,-0.0055828,0.065097,0.0313163,-0.211507,0.462757,0.117861,-0.158863,0.988827,0.0235089,-0.293847,1.43228,0.143011,-0.24636,0.063391,0.0265181,-0.592229,0.94852,0.164387,-0.573205,0.913411,0.225609,-0.48569,0.114525,-0.162696,-0.207061,1.09044,-0.31551,-0.206265,0.748739,-0.390456,-0.430537,0.06551,-0.0911207,-0.485222,0.52867,-0.172675,-0.154673,0.982332,-0.03946,-0.268421,1.41664,-0.204359,-0.656859,0.105746,-0.136583,-0.23655,0.836369,-0.321477,-0.176048,0.839524,-0.363531,-0.409309,1.20763,-0.020597
4,0.0299726,-0.206044,1.43805,-0.0273983,-0.0655366,0.0946447,0.080886,-0.303509,0.971183,0.148957,-0.431753,1.1092,0.260401,-0.676658,0.893776,0.202691,0.00671503,0.0653552,0.0312853,-0.205388,0.461541,0.11776,-0.158604,0.986568,0.0228936,-0.295114,1.42978,0.142016,-0.233756,0.0632421,0.0265299,-0.600165,0.952355,0.161843,-0.582532,0.916282,0.223017,-0.510865,0.113514,-0.166132,-0.2037,1.08857,-0.316604,-0.196909,0.748332,-0.395371,-0.458439,0.0589973,-0.0964707,-0.48222,0.524307,-0.170946,-0.154477,0.979957,-0.0400356,-0.266844,1.41379,-0.205032,-0.682124,0.115849,-0.137317,-0.22951,0.834141,-0.325409,-0.16804,0.838756,-0.366258,-0.408517,1.20468,-0.0225566
5,0.0399635,-0.205967,1.43533,-0.0278227,-0.0536254,0.0953648,0.0810212,-0.304159,0.968956,0.148148,-0.436539,1.10852,0.259437,-0.685863,0.899419,0.199589,0.0192572,0.0659569,0.0313241,-0.199622,0.460246,0.117695,-0.158696,0.984414,0.0222186,-0.296301,1.42727,0.14086,-0.221093,0.0630686,0.0265343,-0.607453,0.955867,0.15926,-0.591144,0.918902,0.220439,-0.534628,0.114168,-0.168916,-0.200649,1.08667,-0.317613,-0.187735,0.748082,-0.399881,-0.485013,0.0544401,-0.101388,-0.479212,0.519454,-0.169831,-0.154948,0.977539,-0.0408009,-0.26556,1.41112,-0.205824,-0.705015,0.127789,-0.136583,-0.222989,0.832005,-0.329247,-0.160497,0.838002,-0.368753,-0.407947,1.20189,-0.0248413
6,0.0499543,-0.20585,1.43252,-0.0284108,-0.041751,0.0963763,0.0812284,-0.305036,0.966717,0.147298,-0.440998,1.10783,0.258242,-0.694243,0.904624,0.196607,0.0318871,0.0668726,0.0314063,-0.194258,0.458879,0.117688,-0.159283,0.982266,0.0215209,-0.297325,1.42474,0.139581,-0.208435,0.0629122,0.0266331,-0.614143,0.958895,0.156796,-0.599004,0.921237,0.217857,-0.556645,0.116026,-0.170952,-0.197835,1.08473,-0.318544,-0.179169,0.747783,-0.404143,-0.509873,0.0515845,-0.105488,-0.476517,0.514733,-0.169265,-0.156159,0.974993,-0.0417722,-0.264378,1.40847,-0.20671,-0.724977,0.140577,-0.134863,-0.217051,0.829858,-0.332686,-0.153817,0.837044,-0.370662,-0.407709,1.19925,-0.0273608
7,0.0599452,-0.205687,1.42968,-0.0291706,-0.0298821,0.0975912,0.0815334,-0.306055,0.964402,0.146472,-0.44512,1.10709,0.256849,-0.701833,0.909314,0.193737,0.0444634,0.0682085,0.031633,-0.189308,0.457473,0.117771,-0.160373,0.980122,0.0208199,-0.298165,1.42225,0.138213,-0.19581,0.0628225,0.0268228,-0.620264,0.961622,0.154231,-0.606128,0.923266,0.215265,-0.576758,0.118296,-0.172454,-0.195228,1.0827,-0.319422,-0.171196,0.747393,-0.407944,-0.532567,0.0503974,-0.108432,-0.474532,0.510686,-0.168923,-0.156969,0.972653,-0.0424784,-0.263282,1.40582,-0.207691,-0.741894,0.153689,-0.132633,-0.21173,0.827723,-0.335746,-0.147825,0.83592,-0.372065,-0.40788,1.19677,-0.0300151
8,0.0699361,-0.205568,1.42686,-0.0301079,-0.0180786,0.0989892,0.0820194,-0.307072,0.962005,0.145563,-0.448889,1.10628,0.255288,-0.708628,0.913424,0.190985,0.056984,0.0702121,0.0320656,-0.184775,0.456089,0.117937,-0.161805,0.977977,0.020076,-0.298881,1.41982,0.136758,-0.183141,0.0626705,0.0269819,-0.625834,0.96397,0.15163,-0.612557,0.924952,0.212689,-0.594598,0.120549,-0.173503,-0.192791,1.08061,-0.320261,-0.163875,0.746834,-0.41124,-0.55233,0.0505535,-0.110393,-0.473235,0.507346,-0.168535,-0.157344,0.970494,-0.0429968,-0.262336,1.40317,-0.208801,-0.755837,0.166027,-0.130328,-0.207092,0.825592,-0.338512,-0.142414,0.83474,-0.373231,-0.408119,1.19448,-0.0325876
9,0.0799269,-0.205576,1.4241,-0.0312142,-0.00647643,0.10063,0.0827299,-0.308022,0.95957,0.144546,-0.452294,1.1054,0.253543,-0.71465,0.916908,0.188331,0.0694199,0.0728403,0.0326681,-0.180698,0.454787,0.118157,-0.163216,0.975871,0.01927,-0.299524,1.41749,0.135208,-0.170548,0.0625698,0.0271435,-0.630847,0.965885,0.149121,-0.618315,0.926306,0.210121,-0.609103,0.122784,-0.174416,-0.19057,1.07844,-0.321046,-0.157233,0.746045,-0.414017,-0.568398,0.0511832,-0.111748,-0.472589,0.504573,-0.168229,-0.157719,0.96838,-0.0435807,-0.261636,1.40058,-0.210044,-0.766632,0.176433,-0.128106,-0.203099,0.823407,-0.341089,-0.13767,0.833508,-0.374363,-0.408546,1.19233,-0.0350248
10,0.0899178,-0.205723,1.42146,-0.0324852,0.0048381,0.10258,0.0836448,-0.308888,0.957168,0.143497,-0.45534,1.10448,0.251644,-0.719913,0.919737,0.185782,0.0814533,0.0758052,0.0333651,-0.1772,0.453575,0.118434,-0.164539,0.973886,0.0183308,-0.300121,1.41528,0.133573,-0.158024,0.062501,0.0273153,-0.635299,0.96738,0.146645,-0.623397,0.927336,0.207577,-0.619368,0.124477,-0.175114,-0.188589,1.07621,-0.321815,-0.151333,0.744992,-0.416307,-0.580123,0.0511736,-0.112822,-0.473205,0.502226,-0.168012,-0.158909,0.966075,-0.0446892,-0.261131,1.39798,-0.211396,-0.773835,0.18375,-0.125887,-0.199597,0.8211,-0.34368,-0.133657,0.831998,-0.375157,-0.409261,1.19024,-0.0372897
